Amazon Advertisement,com/amazon/device/ads,com/amazon/device/ads
bluetooth,Lorg/altbeacon/bluetooth,Lorg/altbeacon/bluetooth
clevertap,com/clevertap,com/clevertap
webvtt,com/google/android/exoplayer2/text/webvtt,com/google/android/exoplayer2/text/webvtt
mraid,com/smartadserver/android/library/controller/mraid,com/smartadserver/android/library/controller/mraid
smartadserver,com/smartadserver/android/library/offline,com/smartadserver/android/library/offline
notification,com/pushwoosh/notification,com/pushwoosh/notification
ttml,com/google/android/exoplayer2/text/ttml,com/google/android/exoplayer2/text/ttml
paypal,com/mobimento/caponate/util/paypal,com/mobimento/caponate/util/paypal
pushwoosh,com/pushwoosh/local,com/pushwoosh/local
caponate,com/mobimento/caponate/util/views,com/mobimento/caponate/util/views
mobvista,com/mobvista/msdk/shell,com/mobvista/msdk/shell
imageMap,com/mobimento/caponate/section/imageMap,com/mobimento/caponate/section/imageMap
calendar,com/mobimento/caponate/section/calendar,com/mobimento/caponate/section/calendar
ARPois,com/mobimento/caponate/section/dataviews/ARPois,com/mobimento/caponate/section/dataviews/ARPois
appwall,com/mobvista/msdk/appwall/report,com/mobvista/msdk/appwall/report
Twitter,Ltwitter4j,Ltwitter4j
gallery,com/mobimento/caponate/section/dataviews/gallery,com/mobimento/caponate/section/dataviews/gallery
appwall viewpager,com/mobvista/msdk/appwall/viewpager,com/mobvista/msdk/appwall/viewpager
GNU KAWA,Lgnu/kawa,Lgnu/kawa
mobvista,com/mobvista/msdk/base/c,com/mobvista/msdk/base/c
mobimento calendar,com/mobimento/caponate/section/dataviews/calendar,com/mobimento/caponate/section/dataviews/calendar
GNU Common Lisp,Lgnu/commonlisp,Lgnu/commonlisp
mobvista,com/mobvista/msdk/base/b/b,com/mobvista/msdk/base/b/b
mobvista caponate,com/mobimento/caponate/element,com/mobimento/caponate/element
GNU XML,Lgnu/xml,Lgnu/xml
mobvista msdk,com/mobvista/msdk/base/b/c,com/mobvista/msdk/base/b/c
tappx,com/tappx/a/a/a/g,com/tappx/a/a/a/i
GNU Mapping,Lgnu/mapping,Lgnu/mapping
tappx,com/tappx/a/a/a/b,com/tappx/a/a/a/c
mobvista webview,com/mobvista/msdk/base/webview,com/mobvista/msdk/base/webview
ECMAScript,Lgnu/ecmascript,Lgnu/ecmascript
mobvista adapter,com/mobvista/msdk/base/adapter,com/mobvista/msdk/base/adapter
Kawa for Android,Lkawa,Lkawa
mobvista entity,com/mobvista/msdk/base/entity,com/mobvista/msdk/base/entity
gnu lists,Lgnu/lists,Lgnu/lists
mobvista,com/mobvista/msdk/b,com/mobvista/msdk/b
gnu text,Lgnu/text,Lgnu/text
mobvista click,com/mobvista/msdk/click,com/mobvista/msdk/click
gnu math,Lgnu/math,Lgnu/math
mobvista out,com/mobvista/msdk/out,com/mobvista/msdk/out
gnu expr,Lgnu/expr,Lgnu/expr
referral,Lio/branch/referral/util,Lio/branch/referral/util
bytecode,Lgnu/bytecode,Lgnu/bytecode
getui,com/igexin,com/getkeepsafe
ISO Parser,com/coremedia/iso,com/coremedia/iso
AspectJ,Lorg/aspectj,Lorg/mp4parser/aspectj
mparticle mappings,com/mparticle/kits/mappings,com/mparticle/kits/mappings
mp4parser,com/mp4parser,com/mp4parser
googlecode mp4parser,com/googlecode/mp4parser/boxes,com/googlecode/mp4parser/boxes
helpshift campaigns,com/helpshift/campaigns/views,com/helpshift/campaigns/views
Lbo,Lbo,Lbo
Lretrofit2,Lretrofit2,Lretrofit2
orm,com/orm,com/orm
greenrobot,Lorg/greenrobot,Lorg/greenrobot
json smart,Lnet/minidev/json,Lnet/minidev/json
adjust,com/adjust/sdk,com/adjust/sdk
